Authors	Work Title	Volume	Status	ABOS	STOA	PHI or BHL	TLG	Perseus Identifier	Authority Record	Language	Notes
Adespota Alexandrina	Fragmenta Adespota Alexandriana 	Anthologia lyrica graeca, Volume II, 1925	new collection	none	none	none	none		n.a	Greek	
Aegimius Epic.	Aegimius (Fragmenta)	EGF	new collection	none	none	none	0668.001		n.a.	Greek	
Aenigmata Merovingicae aetatis	Versus cuiusdam Scoti de alphabeto 	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Alcmaeonis Epic	Alcmaeonis (fragmenta)	EGF	new collection	none	none	none	0696.002		no	Greek	
Alexandri Magni Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	0042.001		n.a.	Greek & latin	
Amasis Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	0043.001		n.a.	Greek & latin	
Anonymi Comici et Tragici	Atellanae Poetarum Incertorum	SRP, Vol 2	new collection	none	none	9505.2	none		n.a.	Latin	
Anonymi Comici et Tragici	Ex Incertis Incertorum Fabulis	SRP, Vol 1	new collection	none	none	9505.4	none		n.a.	Latin	
Anonymi Comici et Tragici	Mimi Poetarum Incertorum	SRP, Vol 2	new collection	none	none	584.1	none		n.a.	Latin	
Anonymi Comici et Tragici	Palliatae Poetarum Incertorum	SRP, Vol 2	new collection	none	none	9505.3	none		n.a.	Latin	
Anonymi Comici et Tragici	Togatae Poetarum Incertorum	SRP, Vol 2	new collection	none	none	9505.1	none		n.a.	Latin	
Anonymi Comici et Tragici	Tragoediae Poetarum Incertorum	SRP, Vol 1	new collection	none	none	9505.4	none		n.a.	Latin	
Anonymi Comici et Tragici 	Orestis Tragoedia	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none	tll-orestis	no	Latin	
Anonymi de Terrae Motibus	De terrae motibus	De Ostentis (Lydus-1897)	new collection	none	none	none	2972.001		no	Greek	
Anonymi Epici et Lyrici	A. Atilii Calatini elogium	Fragmenta Poetarum Romanorum	new collection	none	none	9500.4	none		no	Latin	
Anonymi Epici et Lyrici	Acidis Tumlus	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Ad Oceanum	Poetae Latini minores, Vol III	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Ad Panem	Poetae Latini minores, Vol III	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Aegritudo Perdicae	Poetae Latini Minores, Vol V	new collection	none	stoa0010a-stoa001	9500.?	none		no	Latin	Created identifier for this work as identified separately by the TLL
Anonymi Epici et Lyrici	Aenigma	Poetae Latini minores, Vol III	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Ardeatis templi inscriptio	Fragmenta Poetarum Romanorum	new collection	none	none	9500.13	none		no	Latin	
Anonymi Epici et Lyrici	Argumenta Lucani	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Artificia Metrica	Fragmenta Poetarum Romanorum	new collection	none	none	9500.24	none		no	Latin	
Anonymi Epici et Lyrici	Carmen Contra Paganos	Poetae Latini minores, Vol III	new collection	none	none	9500.?	none	tll-paganos	no	Latin	
Anonymi Epici et Lyrici	Carmen de Candido et Nigro	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Carmen de Figuris Vel Schematibus	Poetae Latini minores, Vol III	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Carmen de Philomela	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
