Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Abelard	none				Epistolae								new collection	none	stoa002-stoa004	none	none			yes	n.a.		
Ablabius					Epigrammata								new collection	none	none	none	4023.001			yes(dnb)	n.a.		
Ablabius (Flavius) (Ablavius)					Epigrammata								new collection	none	stoa003-stoa001	2000.1	none			yes	n.a.		
Accius, Lucius					Carmina								new collection	none	none	400.1	none			yes	n.a.		
Accius, Lucius					Praetextae								new collection	none	none	400.2	none			``	``		
Accius, Lucius			Acc.		Tragoediae	Acc. Trag. 696							new collection	none	none	400.3	none			``	``		
Aceratus					Epigrammata								new collection	none	none	none	0101.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0015.html	
Acestodorus					Fragmenta								new collection	none	none	none	1818x01			yes (dnb)	yes		
Achaeus Eretriensis					Fragmenta								new collection	none	none	none	0309.001			yes(dnb)	yes		
Achilles Tatius	none	Ach.Tat	n.a.	n.a.	Leucippe et Clitophon		none		Achilles Tatius, Leucippes & Clitophon, S. Gaselee, 1917	yes	Erotici Scriptores Graeci, Rudolf Hercher, 1858	yes	Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0532,001	none	none	0532.001			yes (dnb)	n.a.		
Acholius					Vita Alexandri Severi								new collection	none	stoa0004-stoa002	none	none			no	yes	http://www.ancientlibrary.com/smith-bio/0021.html	
Acholius					Acta								new collection	none	stoa0004-stoa001	none	none			``	``		
Acilius					Annales								new collection	none	none	none	2545.002			yes (dnb)	yes	http://www.oxfordreference.com/views/ENTRY.html?subview=Main&entry=t111.e37&authstatuscode=200	Acilius, Gaius,   (RE 4) Roman senator and historian, who interpreted for Carneades, Diogenes (3), and Critolaus in the senate in 155 BC, wrote a history of Rome, in Greek, from early Italian times to his own age, certainly to 184 BC (Dionysius Halicarnessensis Antiquitates Romanae 3. 67. 5); it appeared c.142 (Livy, Periochae 53: reading C. Acilius). His senatorial tradition is seen in the anecdote of P. Cornelius Scipio Africanus and Hannibal (Livy 35. 14. 5). His work was reproduced in Latin by a Claudius, probably Claudius Quadrigarius, who would then have incorporated it in his annalistic form.
Acro (Pseudo)					Commentarii in Q. Horatium Flaccum								new collection	none	stoa0004a	none	none			yes	n.a.		
Acro (Pseudo)					Commentum in Horati Carmina								new collection	none	stoa0004a-stoa001	none	none			``	``		
Acro (Pseudo)					Comment. in Hor. Carm. Saec.								new collection	none	stoa0004a-stoa002	none	none			``	``		
Acro (Pseudo)					Commentum in Horati Epodos								new collection	none	stoa0004a-stoa003	none	none			``	``		
Acro (Pseudo)					Commentum in Horati Sermones								new collection	none	stoa0004a-stoa004	none	none			``	``		
Acro (Pseudo)					Commentum in Horati Epistulas								new collection	none	stoa0004a-stoa005	none	none			``	``		
Acro (Pseudo)					Comment. in Hor. Artem Poet.								new collection	none	stoa0004a-stoa006	none	none			``	```		
Actorius Naso, Marcus					Historica Fragmenta								new collection	none	stoa0005-stoa001	none	none			no	yes	http://www.ancientlibrary.com/smith-bio/0026.html	
Acusilaus of Argos					Fragmenta								new collection	none	none	none	0392.002			yes (dnb)	yes		
Adaeus					Epigrammata								new collection	none	none	none	0102.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0027.html	
Adam, von Bremen					Gesta Hammaburgensis Ecclesiae Pontificum								new collection	none	stoa0063a-stoa001	none	none			yes	n.a.		
Adamantius Judaeus					Physiogonomica								new collection	none	none	none	0731.001			yes	yes	http://www.ancientlibrary.com/smith-bio/0027.html	
Adamantius Judaeus					Physiognomonica (epitome Matritensis)								new collection	none	none	none	0731.003			``	``		
Adrianus of Tyre					Declamatio								new collection	none	none	none	0666.001			yes	n.a.		
Aelian, 3rd cent.					De Natura Animalium 								new collection	none	none	none	0545.001			yes	n.a.		
Aelian, 3rd cent.					Varia Historia								new collection	none	none	none	0545.002			``	``		
Aelian, 3rd cent.					Epistulae Rusticae								new collection	none	none	none	0545.003			``	``		
Aelian, 3rd cent.					Fragmenta								new collection	none	none	none	0545.004			``	``		
Aelius (Quintus Tubero)					Historiae								new collection	none	none	670.1	none			yes	n.a.		
Aelius Maurus					Fragmenta								new collection	none	stoa0010b-stoa001	none	none			no	yes	http://www.ancientlibrary.com/smith-bio/0038.html, description in the Forum Romanum	
Aemilianus					Epigrammata								new collection	none	none	none	0103.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0039.html	
Aemilius Sura					De Annis Populi Romani								new collection	none	none	2300.1	none			yes	n.a.		
Aeneas Gazaeus					Epistulae								new collection	none	none	none	4001.001			yes(dnb)			
Aeneas Silvius (Pope Pius II)					Commentarii. Selections.								new collection	none	stoa0230-stoa002	none	none			yes	n.a.		
Aeneas Tacticus					Poliorcetica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0058,001	none	none	0058.001			yes	n.a.		
Aenigmata Merovingicae aetatis 					Versus De Alphabeto								new collection	none	stoa0011a-stoa001	none	none			no	no	?	Put this in anoymous
Aeschines					Against Timarchus								Part of Perseus 4.0	Perseus:abo:tlg,0026,001	none	none	0026.001	346BCE-345BCE		yes	n.a.		
Aeschines					On the Embassy								Part of Perseus 4.0	Perseus:abo:tlg,0026,002	none	none	0026.002	343BCE		``	n.a.		
Aeschines					Against Ctesiphon								Part of Perseus 4.0	Perseus:abo:tlg,0026,003	none	none	0026.003	330BCE		``	n.a.		
Aeschines					Epistulae								Part of Perseus 4.0	none	none	none	0026.004			``	``		
Aeschines Socraticus					Fragmenta								new collection	none	none	none	0673.001			yes	need to enhance		
Aeschines, Rhetor					Epigrammata								new collection	none	none	none	0104.001			no	yes	Brill	
Aeschrion					Epigrammata								new collection	none	none	none	0679.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0049.html	
Aeschrion					Fragmenta								new collection	none	none	none	0679.002			``	``		
Aeschylus					Suppliant Maidens								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,001	none	none	0085.001	463BCE		yes	n.a.		
Aeschylus					Persians								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,002	none	none	0085.002	472BCE		``	n.a.		
Aeschylus					Prometheus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,003	none	none	0085.003	472-456BCE		``	n.a.		
Aeschylus					Seven Against Thebes 								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,004	none	none	0085.004	467BCE		``	n.a.		
Aeschylus					Agamemnon								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,005	none	none	0085.005	458BCE		``	n.a.		
Aeschylus					Libation-Bearers								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,006	none	none	0085.006	458BCE		``	n.a.		
Aeschylus					Eumenides								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0085,007	none	none	0085.007	458BCE		``	n.a.		
Aeschylus					Fragments								new collection	none	none	none	0085.008			``	n.a.		
Aeschylus					Fragmentum (Iambic et Elegaic)								new collection	none	none	none	0085.009			``	n.a.		
Aeschylus					Epigrammata								new collection	none	none	none	0085.010			``	n.a.		
Aeschylus 					Fragmenta (TGF)								new collection	none	none	none	0085.011			``	n.a.		
Aeschylus Alexandrinus					Fragmenta (TGF)								new collection	none	none	none	0321.001			yes(Dnb)	yes		
Aesopus					Fabulae								new collection	none	none	none	0096.002			yes	n.a.		
