URL/URI	LC #	LC NAME/TITLE or DNB AUTHOR NAME	OLD AUTHOR NAME	LS AUTHOR NAME	PHI AUTHOR NAME	OLD AUTHOR NAME ABBREVIATION	LS AUTHOR NAME ABBREVIATION	A&G AUTHOR NAME ABBREVIATION	WORK TITLE	OLD ABBREVIATED TITLE	LS ABBREVIATED TITLE	A&G ABBREVIATED TITLE	OLD STANDARD EDITION	WE OWN?	TLL Standard Edition	WE OWN?	LS STANDARD EDITION	WE OWN?	PHI#	STOA#	PERSEUS HAS THIS WORK	Other identifier	NOTE	URL
http://errol.oclc.org/laf/n80-125819.html	n80-125819	Accius, Lucius	L. Accius	L. Accius / L. Attius	L. Accius	ACC.	Acc.	none	Poeta/Carmina	ACC. poet. 26 (28) 	none	none	Morel T 1927 (Fragmenta Poetarum Latinorum)	no-not in public domain	FPR, Baehrens (Teubner 1886)	yes	Rib. 	yes-we have scanned	400.1	none	no			
http://errol.oclc.org/laf/n80-125819.html	n80-125819	Accius, Lucius	L. Accius	L. Accius / L. Attius	L. Accius	ACC.	Acc.	none	Praetextae	ACC.  praet. 42 	none	none	Ribbeck T 1897 (Scaenicae Romanorum poesis fragmenta, Vol I)	yes	same as OLD	yes	Rib. 	yes-we have scanned	400.2	none	yes			
http://errol.oclc.org/laf/n80-125819.html	n80-125819	Accius, Lucius	L. Accius	L. Accius / L. Attius	L. Accius	ACC.	Acc.	none	Tragoediae	ACC. trag. 696	none	none	Ribbeck T 1897 (Scaenicae Romanorum poesis fragmenta, Vol I)	yes	same as OLD	yes	Rib. 	yes-we have scanned	400.3	none	yes			
http://errol.oclc.org/laf/nr97-44694.html	nr97-44694	Pseudo-Acro	none	none(not in list)	none	none	Acro	none	Commentarii in Q. Horatium Flaccum	none	Acro	none	none	n.a.	Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884	no-need to obtain	Hauthal?, Meyer?	yes	none	stoa0004a-stoa001	yes			
http://errol.oclc.org/laf/nr97-44694.html	nr97-44694	Pseudo-Acro	none	none(not in list)	none	none	Acro	none	Commentum in Horati Carmina	none	Acro	none	none	n.a.	Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884	no-need to obtain	Hauthal?, Meyer?	yes	none	stoa0004a-stoa001	yes			
http://errol.oclc.org/laf/nr97-44694.html	nr97-44694	Pseudo-Acro	none	none(not in list)	none	none	Acro	none	Comment. in Hor. Carm. Saec.	none	Acro	none	none	n.a.	Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884	no-need to obtain	Hauthal?, Meyer?	yes	none	stoa0004a-stoa002	yes			
http://errol.oclc.org/laf/nr97-44694.html	nr97-44694	Pseudo-Acro	none	none(not in list)	none	none	Acro	none	Commentum in Horati Epodos	none	Acro	none	none	n.a.	Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884	no-need to obtain	Hauthal?, Meyer?	yes	none	stoa0004a-stoa003	yes			
http://errol.oclc.org/laf/nr97-44694.html	nr97-44694	Pseudo-Acro	none	none(not in list)	none	none	Acro	none	Commentum in Horati Sermones	none	Acro	none	none	n.a.	Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884	no-need to obtain	Hauthal?, Meyer?	yes	none	stoa0004a-stoa004	yes			
http://errol.oclc.org/laf/nr97-44694.html	nr97-44694	Pseudo-Acro	none	none(not in list)	none	none	Acro	none	Commentum in Horati Epistulas	none	Acro	none	none	n.a.	Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884	no-need to obtain	Hauthal?, Meyer?	yes	none	stoa0004a-stoa005	yes			
http://errol.oclc.org/laf/nr97-44694.html	nr97-44694	Pseudo-Acro	none	none(not in list)	none	none	Acro	none	Comment. in Hor. Artem Poet.	none	Acro	none	none	n.a.	Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884	no-need to obtain	Hauthal?, Meyer?	yes	none	stoa0004a-stoa006	yes			
none	none	Anonymous	none	none	none	Act. Triumph	none	none	Acta Triumphalia	Act. Triumph. 37 (CIL I. p. 50)	none	none	Corpus Inscriptionum Latinarum, Vol I	no-need to obtain			none	n.a.	none	stoa0004b-stoa001	no			
none	none	Anonymous	none	none(not in list)	none	none	none	none	Liber Simplici	none	Simplic.	none	none	n.a.			Goes, Rei agrariae auctores legesque variae, 1674	n.a.	none	stoa0027a-stoa001	no			
http://errol.oclc.org/laf/nr95-20709.html	nr95-20709	Valerius Aedituus, fl. ca. 100 B.C.	Valerius Aedituus	none	Valerius Aedituus	AED.	none	none	Epigrammata	AED. poet. 2. 6 	none	none	Morel T 1927 (Fragmenta Poetarum Latinorum)	no-not in public domain	FPR, Baehrens (Teubner 1886)	yes	none	n.a.	402.1	stoa0010-stoa001	yes			
http://id.loc.gov/authorities/names/no2002076658	no2002-076658	Aegritudo Perdicae	none	none	none	none	none	none	Aegritudo Perdicae	none	none	none	none	n.a.	PLM V, Baehrens	yes	none	n.a.	none	stoa0010a-stoa001	yes			
http://errol.oclc.org/laf/no2004-105320.html	no2004-105320	Aemilius Asper, 2nd cent.	none	none(not in list)	none	none	Asper	none	Ars Grammatica	none	Asper	none	none	n.a.	Keil (Grammatici Latini)	yes	 Keil (Grammatici Latini), Putschius (Grammaticae Latinae-1605)	yes-Google has scnned	1363.3	none	yes		Crated a PHI identifier for this work	
http://errol.oclc.org/laf/n84-208759.html, http://errol.oclc.org/laf/n90-704191.html	n84-208759, n90-704191 (for Aetna)	Appendix Vergiliana. Aetna	none	Auctor Aetnae (perh. Lucilius Junior)	Appendix Vergiliana	none	Auct. Aetn.	none	Aetna	Aetna 646 	Aetn., Lucil. Aetn.	none	Poetae Latini Minores Vollmer T 1930 	no-not in public domain	Munro 1867	no	Rib. (Vergil Opera)	n.a.	692.4	stoa0297-stoa001	yes			
http://errol.oclc.org/laf/n00-24409.html	n00-24409	Afranius, Lucius	L. Afranius 	Lucius Afranius	L. Afranius	AFRAN.	Afran.	none	Togatae	AFRAN. com. 432 	none	none	Ribbeck T 1898  (Scaenicae Romanorum poesis fragmenta, Vol II)	yes	same as OLD	yes	Rib.	yes-we have scanned	404.1	none	yes			
http://errol.oclc.org/laf/n00-65329.html	n00-65329	Africanus, Sextus Caecilius, 2nd cent.	Sex. Caecilius Africanus	none	none	AFRIC.	none	none	Quaestiones (from L.C.)	AFRIC. dig. 50. 16. 208 	none	none	Mommsen-Krueger Berlin 1922 (Corpus iuris civilis, Vol I (Digesta Iustiniani in OLD))	no-need to obtain (have older version)			none	n.a.	2806.2	stoa0066-stoa001	yes		Caecilius africanus in STOA	
" http://viaf.org/viaf/42229983
"	42229983	Agennius, Urbicus 4./5. Jh. n. Chr	Agennius Vrbicus	Agennus Urbicus	none	AGEN.	Aggen.	none	De Controversis Agrorum	AGEN. agrim. p. 51 	Aggen. 	none	Thulin T 1913 (Corpus Agrimensorum)	yes-IA has scanned	Lachmann 1848	yes	Lachmann, etc. Berlin 1848 (Die Schriften der römischen Feldmesser, Vol 1-2), Goes, Rei agrariae auctores legesque variae, 1674	no-need to obtain	none	stoa0012a-stoa001 	yes		Created a STOA identifier for this author/work	
" http://viaf.org/viaf/42229983
"	42229983	Agennius, Urbicus 4./5. Jh. n. Chr	Agennius Vrbicus	Agennus Urbicus	none	AGEN.	Aggen.	none	In Julius Frontinus Commentariorum De agrorum qualitate	none	Aggen. ap. Comm. in Frontin.	none	Thulin T 1913 (Corpus Agrimensorum)	yes-IA has scanned	Lachmann 1848	yes	Lachmann, etc. Berlin 1848 (Die Schriften der römischen Feldmesser, Vol 1-2), Goes, Rei agrariae auctores legesque variae, 1674	no-need to obtain	none	stoa0012a-stoa002	yes		Created a STOA identifier for this author/work	
" http://viaf.org/viaf/42229983
"	42229983	Agennius, Urbicus 4./5. Jh. n. Chr	Agennius Vrbicus	Agennus Urbicus	none	AGEN.	Aggen.	none	In Julius Frontinus Commentariorum De controversiis agrorum	none	Aggen. ap. Comm. in Frontin.	none	Thulin T 1913 (Corpus Agrimensorum)	yes-IA has scanned	Lachmann 1848	yes	Lachmann, etc. Berlin 1848 (Die Schriften der römischen Feldmesser, Vol 1-2), Goes, Rei agrariae auctores legesque variae, 1674	no-need to obtain	none	stoa0012a-stoa003	yes		Created a STOA identifier for this author/work	
http://errol.oclc.org/laf/n81-88795.html	n81-88795	Agroecius, Bishop of Sens, 5th cent.	none	none(not in list)	none	none	Agroet.	none	De Orthographia	none	Agroet. / Agroet. Othogr. 	none	none	n.a.	Keil (Grammatici Latini)	yes	 Keil (Grammatici Latini), Putschius (Grammaticae Latinae-1605)	yes-Google has scanned	none	stoa0013c-stoa001 	yes		Created a STOA identifier for this author/work	
http://errol.oclc.org/laf/n85-289308.html	n85-289308	Avitus, Saint, Bishop of Vienne	none	Alcimus Avitus	none	none	Alcim. (Alcim. Avit.)	none	Epistulae	none	Alcim. Ep. / Alcim. Avit. ad Sor?	none	none	n.a.	Peiper 1883	yes	Migne (Patrologia Latina)	no-need to obtain	none	stoa0047a-stoa002	no		Created a STOA identifier for this author/work	
