urn|textgroup|groupname_eng|has_mads|mads_possible|notes|urn_status|created_by|edited_by
urn:cite:perseus:cattg.1.1|urn:cts:greekLit:tlg0001|Apollonius, Rhodius|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.2.1|urn:cts:greekLit:tlg0002|Theognis|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.3.1|urn:cts:greekLit:tlg0003|Thucydides|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.4.1|urn:cts:greekLit:tlg0004|Diogenes Laertius|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.5.1|urn:cts:greekLit:tlg0005|Theocritus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.6.1|urn:cts:greekLit:tlg0006|Euripides|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.7.1|urn:cts:greekLit:tlg0007|Plutarch|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.8.1|urn:cts:greekLit:tlg0008|Athenaeus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.9.1|urn:cts:greekLit:tlg0009|Sappho|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.10.1|urn:cts:greekLit:tlg0010|Isocrates|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.11.1|urn:cts:greekLit:tlg0011|Sophocles|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.12.1|urn:cts:greekLit:tlg0012|Homer|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.13.1|urn:cts:greekLit:tlg0013|Homeric Hymns|false|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.14.1|urn:cts:greekLit:tlg0014|Demosthenes|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.15.1|urn:cts:greekLit:tlg0016|Herodotus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.16.1|urn:cts:greekLit:tlg0017|Isaeus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.17.1|urn:cts:greekLit:tlg0019|Aristophanes|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.18.1|urn:cts:greekLit:tlg0020|Hesiod|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.19.1|urn:cts:greekLit:tlg0022|Nicander, of Colophon|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.20.1|urn:cts:greekLit:tlg0023|Oppian|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.21.1|urn:cts:greekLit:tlg0024|Oppian of Apamea|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.22.1|urn:cts:greekLit:tlg0026|Aeschines|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.23.1|urn:cts:greekLit:tlg0027|Andocides|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.24.1|urn:cts:greekLit:tlg0028|Antiphon|true|true||published|feed_aggregator|feed_aggregator
