urn|version|label_eng|desc_eng|type|has_mods|urn_status|redirect_to|member_of|created_by|edited_by
urn:cite:perseus:catver.1.1|urn:cts:greekLit:tlg0001.tlg003.opp-grc1|"Epigramma, The , Greek anthology, Vol IV, The Convivial and Satirical Epigrams, Book XI"|"Apollonius,,Rhodius,creator"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.2.1|urn:cts:greekLit:tlg0001.tlg003.opp-eng1|"Epigramma, The , Greek anthology, Vol IV, The Convivial and Satirical Epigrams, Book XI"|"Apollonius,,Rhodius,creator"|translation|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.3.1|urn:cts:greekLit:tlg0001.tlg002.opp-grc1|"Fragmenta, Anthologia lyrica, Volume III, Iamborum Scriptores"|"Apollonius,,Rhodius,creator Diehl, Ernst,1874-1947,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.4.1|urn:cts:greekLit:tlg0001.tlg002.opp-grc2|"Fragmenta, Anthologia lyrica graeca, Volume I"|"Apollonius,,Rhodius,creator Diehl, Ernst,1874- 1947,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.5.1|urn:cts:greekLit:tlg0001.tlg001.perseus-grc1|"Argonautica"|"Argonautica. Apollonius Rhodius. George W. Mooney. London. Longmans, Green. 1912."|edition|true|published||Perseus:collection:Greco-Roman|feed_aggregator|feed_aggregator
urn:cite:perseus:catver.6.1|urn:cts:greekLit:tlg0001.tlg001.opp-grc1|"Apollonii Rhodii Argonautica"|"Apollonius,,Rhodius,creator Seaton, R. C. (Robert Cooper),1853-1915,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.7.1|urn:cts:greekLit:tlg0001.tlg001.opp-eng1|"The, ""Argonautica"" of Apollonius Rhodius"|"Apollonius,,Rhodius,creator Coleridge, Edward P.,b. 1863,editor"|translation|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.8.1|urn:cts:greekLit:tlg0002.tlg001.opp-grc1|"Elegiae, Poetae lyrici graeci"|"Theognis,creator Bergk, Theodor,1812-1881,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.9.1|urn:cts:greekLit:tlg0002.tlg001.opp-grc2|"Elegiae, Anthologia lyrica, sive Lyricorum graecorum veterum praeter Pindarum reliquiae
            potiores"|"Theognis,creator Hiller, Eduard,1844-1891,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.10.1|urn:cts:greekLit:tlg0002.tlg001.opp-grc3|"Elegiae, Anthologie aus den lyrikern der Griechen, Erstes Bandchen, Die Elegiker Und Iambographen Enthaltend"|"Theognis,creator Buchholz, Eduard,1825-1887,compiler"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.11.1|urn:cts:greekLit:tlg0002.tlg001.opp-grc4|"Elegiae, Anthologia lyrica, Volume II"|"Theognis,creator Diehl, Ernst,1874-1947,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.12.1|urn:cts:greekLit:tlg0002.tlg001.opp-grc5|"Elegiae, Anthologia lyrica graeca, Volume I"|"Theognis,creator Diehl, Ernst,1874-1947,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.13.1|urn:cts:greekLit:tlg0002.tlg001.opp-grc6|"Elegiae, Poetae lyrici Graeci, Vol II, Poetas Elegiacos et Iambographos Continens"|"Theognis,creator Bergk, Theodor,1812-1881,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.14.1|urn:cts:greekLit:tlg0002.tlg004.opp-grc1|"Epigrammata, The , Greek anthology, Vol IV, The Hortatory and Admonitory Epigrams, Book X"|"Theognis,creator"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.15.1|urn:cts:greekLit:tlg0002.tlg004.opp-eng1|"Epigrammata, The , Greek anthology, Vol IV, The Hortatory and Admonitory Epigrams, Book X"|"Theognis,creator"|translation|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.16.1|urn:cts:greekLit:tlg0003.tlg001.perseus-eng1|"History of the Peloponnesian War"|"The English works of Thomas Hobbes of Malmesbury. Thucydides. Thomas Hobbes. translator. London. Bohn. 1843."|translation|true|published||Perseus:collection:Greco-Roman|feed_aggregator|feed_aggregator
urn:cite:perseus:catver.17.1|urn:cts:greekLit:tlg0003.tlg001.perseus-eng2|"History of the Peloponnesian War"|"Thucydides translated into English; with introduction, marginal analysis, notes, and indices. Volume 1. Thucydides. Benjamin Jowett. translator. Oxford. Clarendon Press. 1881."|translation|true|published||Perseus:collection:Greco-Roman|feed_aggregator|feed_aggregator
urn:cite:perseus:catver.18.1|urn:cts:greekLit:tlg0003.tlg001.perseus-grc1|"The Peloponnesian War"|"Thucydides. Historiae in two volumes. Oxford, Oxford University Press. 1942."|edition|true|published||Perseus:collection:Greco-Roman-protected|feed_aggregator|feed_aggregator
urn:cite:perseus:catver.19.1|urn:cts:greekLit:tlg0003.tlg001.perseus-eng3|"The Peloponnesian War"|"Thucydides. The Peloponnesian War. London, J. M. Dent; New York, E. P. Dutton. 1910."|translation|true|published||Perseus:collection:Greco-Roman|feed_aggregator|feed_aggregator
urn:cite:perseus:catver.20.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc1|"Thoukydídou Xyngraphe, Ersten Bandes, Erstes Heft, Erstes und Zweites Buch"|"Thucydides.,creator Krüger, K. W. (Karl Wilhelm),,1796-1874,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.21.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc2|"Thoukydídou Xyngraphe, Ersten Bandes, Zweites Heft, Drittes und Viertes Buch"|"Thucydides.,creator Krüger, K. W. (Karl Wilhelm),,1796-1874,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.22.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc3|"Thucydidis Historiae, Tomus Prior"|"Thucydides.,creator Jones, Henry Stuart,1867-1939,editor Powell, John Enoch,1912-1998,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.23.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc4|"Thucydidis Historiae, Tomus Posterior"|"Thucydides.,creator Jones, Henry Stuart,1867-1939,editor Powell, John Enoch,1912-1998 ,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.24.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc5|"Book VII"|"Thucydides.,creator Smith, Charles Forster,1852-1931,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.25.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc6|"Book VI"|"Thucydides.,creator Smith, Charles Forster,1852-1931,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.26.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc7|"Die , Geschichte des Peloponnesischen Krieges, Zweiter Teil, Buch V 25 bis VIII"|"Thucydides.,creator Müller, Franz,editor"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.27.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc8|"De bello peloponnesiaco libri octo, Graece et latine, Volumen Quartum, Book VI-Book VII"|"Thucydides.,creator Duker, Carolus Andreas,,1660-1752,editor Wasse, Joseph,1672-1738,editor Societas Bipontina,printer"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.28.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc9|"De bello peloponnesiaco libri octo, Graece et latine, Volumen Primum, Book I"|"Thucydides.,creator Duker, Carolus Andreas,,1660-1752,editor Wasse, Joseph,1672-1738,editor Societas Bipontina,printer"|edition|true|published|||feed_aggregator|feed_aggregator
urn:cite:perseus:catver.29.1|urn:cts:greekLit:tlg0003.tlg001.opp-grc10|"De bello peloponnesiaco libri octo, Graece et latine, Volumen Tertium, Book IV-Book V"|"Thucydides.,creator Duker, Carolus Andreas,,1660-1752,editor Wasse, Joseph,1672-1738,editor Societas Bipontina,printer"|edition|true|published|||feed_aggregator|feed_aggregator
