urn|work|title_eng|notes|urn_status|created_by|edited_by
urn:cite:perseus:catwk.1.1|urn:cts:greekLit:tlg0001.tlg003|Epigrammata||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.2.1|urn:cts:greekLit:tlg0001.tlg002|Fragmenta||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.3.1|urn:cts:greekLit:tlg0001.tlg001|Argonautica||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.4.1|urn:cts:greekLit:tlg0002.tlg001|Elegiae||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.5.1|urn:cts:greekLit:tlg0002.tlg004|Epigrammata||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.6.1|urn:cts:greekLit:tlg0003.tlg001|Histories||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.7.1|urn:cts:greekLit:tlg0003.tlg002|Epigramma||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.8.1|urn:cts:greekLit:tlg0004.tlg001|Vitae philosophorum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.9.1|urn:cts:greekLit:tlg0004.tlg002|Epigrammata||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.10.1|urn:cts:greekLit:tlg0005.tlg005|Epigrammata||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.11.1|urn:cts:greekLit:tlg0005.tlg004|Fragmentum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.12.1|urn:cts:greekLit:tlg0005.tlg003|Syrinx||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.13.1|urn:cts:greekLit:tlg0005.tlg002|Epigrams||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.14.1|urn:cts:greekLit:tlg0005.tlg001|Idylls||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.15.1|urn:cts:greekLit:tlg0006.tlg009|Heracles||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.16.1|urn:cts:greekLit:tlg0006.tlg019|Rhesus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.17.1|urn:cts:greekLit:tlg0006.tlg010|Ion||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.18.1|urn:cts:greekLit:tlg0006.tlg003|Medea||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.19.1|urn:cts:greekLit:tlg0006.tlg004|Heraclidae||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.20.1|urn:cts:greekLit:tlg0006.tlg013|Iphigeneia in Taurus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.21.1|urn:cts:greekLit:tlg0006.tlg011|Trojan Women||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.22.1|urn:cts:greekLit:tlg0006.tlg022|Epinicium in Alcibiadem||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.23.1|urn:cts:greekLit:tlg0006.tlg005|Hippolytus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.24.1|urn:cts:greekLit:tlg0006.tlg028|Fragmenta fabulae incertae||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.25.1|urn:cts:greekLit:tlg0006.tlg016|Orestes||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.26.1|urn:cts:greekLit:tlg0006.tlg030|Fragmenta Oenei||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.27.1|urn:cts:greekLit:tlg0006.tlg014|Helen||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.28.1|urn:cts:greekLit:tlg0006.tlg012|Electra||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.29.1|urn:cts:greekLit:tlg0006.tlg008|Suppliants||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.30.1|urn:cts:greekLit:tlg0006.tlg007|Hecuba||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.31.1|urn:cts:greekLit:tlg0006.tlg006|Andromache||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.32.1|urn:cts:greekLit:tlg0006.tlg027|Fragmenta Phrixei||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.33.1|urn:cts:greekLit:tlg0006.tlg001|Cyclops||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.34.1|urn:cts:greekLit:tlg0006.tlg023|Fragmenta Phaethontis||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.35.1|urn:cts:greekLit:tlg0006.tlg020|Fragmenta (TGF)||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.36.1|urn:cts:greekLit:tlg0006.tlg021|Cretum (part of Fragmenta Papyracea)||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.37.1|urn:cts:greekLit:tlg0006.tlg017|Bacchae||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.38.1|urn:cts:greekLit:tlg0006.tlg025|Fragmenta Alexandri||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.39.1|urn:cts:greekLit:tlg0006.tlg018|Iphigeneia in Aulis||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.40.1|urn:cts:greekLit:tlg0006.tlg026|Hypsiples Fragmenta ||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.41.1|urn:cts:greekLit:tlg0006.tlg031|Epigrammata||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.42.1|urn:cts:greekLit:tlg0006.tlg002|Alcestis||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.43.1|urn:cts:greekLit:tlg0006.tlg015|Phoenician Women||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.44.1|urn:cts:greekLit:tlg0007.tlg029|Comparison of Philopoemen and Titus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.45.1|urn:cts:greekLit:tlg0007.tlg125|Quaestiones Naturales||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.46.1|urn:cts:greekLit:tlg0007.tlg105|De invidia et odio||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.47.1|urn:cts:greekLit:tlg0007.tlg046|Comparison of Agesilaus and Pompey||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.48.1|urn:cts:greekLit:tlg0007.tlg022|Marcellus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.49.1|urn:cts:greekLit:tlg0007.tlg036|Lucullus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.50.1|urn:cts:greekLit:tlg0007.tlg069|De recta ratione audiendi||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.51.1|urn:cts:greekLit:tlg0007.tlg012|Pericles||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.52.1|urn:cts:greekLit:tlg0007.tlg043|Comparison of Sertorius and Eumenes||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.53.1|urn:cts:greekLit:tlg0007.tlg090|De E apud Delphos||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.54.1|urn:cts:greekLit:tlg0007.tlg120|De vitando aere alieno||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.55.1|urn:cts:greekLit:tlg0007.tlg026|Comparison of Aristides with Marcus Cato||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.56.1|urn:cts:greekLit:tlg0007.tlg045|Pompey||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.57.1|urn:cts:greekLit:tlg0007.tlg079|Septem sapientium convivium||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.58.1|urn:cts:greekLit:tlg0007.tlg019|Aemilius Paullus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.59.1|urn:cts:greekLit:tlg0007.tlg028|Titus Flamininus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.60.1|urn:cts:greekLit:tlg0007.tlg095|De cohibenda ira||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.61.1|urn:cts:greekLit:tlg0007.tlg074|De fortuna||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.62.1|urn:cts:greekLit:tlg0007.tlg010|Themistocles||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.63.1|urn:cts:greekLit:tlg0007.tlg136|De Stoicorum repugnantiis||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.64.1|urn:cts:greekLit:tlg0007.tlg011|Camillus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.65.1|urn:cts:greekLit:tlg0007.tlg147|Ἐκλογὴ περὶ τῶν ἀδυνάτων||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.66.1|urn:cts:greekLit:tlg0007.tlg091|De Pythiae oraculis||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.67.1|urn:cts:greekLit:tlg0007.tlg071|Quomodo quis suos in virtute sentiat profectus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.68.1|urn:cts:greekLit:tlg0007.tlg060|Dion||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.69.1|urn:cts:greekLit:tlg0007.tlg085|Parallela minora||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.70.1|urn:cts:greekLit:tlg0007.tlg031|Caius Marius||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.71.1|urn:cts:greekLit:tlg0007.tlg137|Compendium Argumenti Stoicos absurdiora poetis dicere||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.72.1|urn:cts:greekLit:tlg0007.tlg121|Vitae decem oratorum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.73.1|urn:cts:greekLit:tlg0007.tlg027|Philopoemen||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.74.1|urn:cts:greekLit:tlg0007.tlg123|De Herodoti malignitate||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.75.1|urn:cts:greekLit:tlg0007.tlg059|Comparison of Demetrius and Antony||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.76.1|urn:cts:greekLit:tlg0007.tlg138|De communibus notitiis adversus Stoicos||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.77.1|urn:cts:greekLit:tlg0007.tlg078|Conjugalia Praecepta||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.78.1|urn:cts:greekLit:tlg0007.tlg098|De amore prolis||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.79.1|urn:cts:greekLit:tlg0007.tlg133|Platonicae quaestiones||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.80.1|urn:cts:greekLit:tlg0007.tlg129|De sollertia animalium||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.81.1|urn:cts:greekLit:tlg0007.tlg051|Agis et Cleomenes||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.82.1|urn:cts:greekLit:tlg0007.tlg141|An Recte Dictum Sit Latenter Esse Vivendum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.83.1|urn:cts:greekLit:tlg0007.tlg061|Brutus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.84.1|urn:cts:greekLit:tlg0007.tlg107|De sera numinis vindicta||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.85.1|urn:cts:greekLit:tlg0007.tlg063|Aratus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.86.1|urn:cts:greekLit:tlg0007.tlg014|Comparison of Pericles and Fabius Maximus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.87.1|urn:cts:greekLit:tlg0007.tlg039|Crassus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.88.1|urn:cts:greekLit:tlg0007.tlg066|Otho||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.89.1|urn:cts:greekLit:tlg0007.tlg092|De defectu oraculorum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.90.1|urn:cts:greekLit:tlg0007.tlg032|Lysander||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.91.1|urn:cts:greekLit:tlg0007.tlg077|De tuenda sanitate praecepta||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.92.1|urn:cts:greekLit:tlg0007.tlg122|Comparationis Aristophanis et Menandri compendium||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.93.1|urn:cts:greekLit:tlg0007.tlg034|Comparison of Lysander and Sulla||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.94.1|urn:cts:greekLit:tlg0007.tlg114|Amatoriae narrationes||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.95.1|urn:cts:greekLit:tlg0007.tlg110|De exilio||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.96.1|urn:cts:greekLit:tlg0007.tlg025|Marcus Cato||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.97.1|urn:cts:greekLit:tlg0007.tlg127|De primo frigido||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.98.1|urn:cts:greekLit:tlg0007.tlg002|Romulus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.99.1|urn:cts:greekLit:tlg0007.tlg007|Solon||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.100.1|urn:cts:greekLit:tlg0007.tlg070|Quomodo adulator ab amico internoscatur||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.101.1|urn:cts:greekLit:tlg0007.tlg118|Praecepta gerendae reipublicae||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.102.1|urn:cts:greekLit:tlg0007.tlg115|Maxime cum principbus philosopho esse diserendum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.103.1|urn:cts:greekLit:tlg0007.tlg001|Theseus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.104.1|urn:cts:greekLit:tlg0007.tlg101|De garrulitate||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.105.1|urn:cts:greekLit:tlg0007.tlg067|De liberis educandis||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.106.1|urn:cts:greekLit:tlg0007.tlg041|Eumenes||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.107.1|urn:cts:greekLit:tlg0007.tlg075|De virtute et vitio||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.108.1|urn:cts:greekLit:tlg0007.tlg099|An vitiositas ad infelicitatem sufficia||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.109.1|urn:cts:greekLit:tlg0007.tlg135|Epitome libri de animae procreatione in Timaeo||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.110.1|urn:cts:greekLit:tlg0007.tlg057|Demetrius||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.111.1|urn:cts:greekLit:tlg0007.tlg024|Aristeides||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.112.1|urn:cts:greekLit:tlg0007.tlg116|Ad principem ineruditum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.113.1|urn:cts:greekLit:tlg0007.tlg104|De vitioso pudore||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.114.1|urn:cts:greekLit:tlg0007.tlg108|De fato||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.115.1|urn:cts:greekLit:tlg0007.tlg102|De curiositate||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.116.1|urn:cts:greekLit:tlg0007.tlg037|Comparison of Lucullus and Cimon||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.117.1|urn:cts:greekLit:tlg0007.tlg109|De genio Socratis||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.118.1|urn:cts:greekLit:tlg0007.tlg049|Phocion||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.119.1|urn:cts:greekLit:tlg0007.tlg015|Alcibiades||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.120.1|urn:cts:greekLit:tlg0007.tlg048|Caesar||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.121.1|urn:cts:greekLit:tlg0007.tlg044|Agesilaus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.122.1|urn:cts:greekLit:tlg0007.tlg073|De amicorum multitudine||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.123.1|urn:cts:greekLit:tlg0007.tlg018|Timoleon||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.124.1|urn:cts:greekLit:tlg0007.tlg094|De virtute morali||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.125.1|urn:cts:greekLit:tlg0007.tlg084|Aetia Romana et Graeca||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.126.1|urn:cts:greekLit:tlg0007.tlg086|De fortuna Romanorum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.127.1|urn:cts:greekLit:tlg0007.tlg076|Consolatio ad Apollonium||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.128.1|urn:cts:greekLit:tlg0007.tlg050|Cato Minor||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.129.1|urn:cts:greekLit:tlg0007.tlg023|Comparison of Pelopidas and Marcellus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.130.1|urn:cts:greekLit:tlg0007.tlg033|Sulla||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.131.1|urn:cts:greekLit:tlg0007.tlg145|Fragmenta||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.132.1|urn:cts:greekLit:tlg0007.tlg016|Caius Marcius Coriolanus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.133.1|urn:cts:greekLit:tlg0007.tlg009|Comparison of Solon and Publicola||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.134.1|urn:cts:greekLit:tlg0007.tlg080|De superstitione||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.135.1|urn:cts:greekLit:tlg0007.tlg140|Adversus Colotem||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.136.1|urn:cts:greekLit:tlg0007.tlg068|Quomodo adolescens poetas audire debeat||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.137.1|urn:cts:greekLit:tlg0007.tlg089|De Iside et Osiride||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.138.1|urn:cts:greekLit:tlg0007.tlg130|Bruta animalia ratione uti||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.139.1|urn:cts:greekLit:tlg0007.tlg126|De faciae quae in orbe lunae apparet||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.140.1|urn:cts:greekLit:tlg0007.tlg082|Apophthegmata Laconica||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.141.1|urn:cts:greekLit:tlg0007.tlg042|Sertorius||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.142.1|urn:cts:greekLit:tlg0007.tlg093|An virtus doceri possit||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.143.1|urn:cts:greekLit:tlg0007.tlg052|Tiberius et Gaius Gracchus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.144.1|urn:cts:greekLit:tlg0007.tlg096|De tranquilitate animi||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.145.1|urn:cts:greekLit:tlg0007.tlg013|Fabius Maximus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.146.1|urn:cts:greekLit:tlg0007.tlg103|De cupiditate divitiarum||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.147.1|urn:cts:greekLit:tlg0007.tlg128|Aquane an ignis sit utilior||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.148.1|urn:cts:greekLit:tlg0007.tlg005|Numa||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.149.1|urn:cts:greekLit:tlg0007.tlg106|De Se Ipsum Citra Invidiam Laudando||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.150.1|urn:cts:greekLit:tlg0007.tlg017|Comparison of Alcibiades and Coriolanus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.151.1|urn:cts:greekLit:tlg0007.tlg038|Nicias||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.152.1|urn:cts:greekLit:tlg0007.tlg047|Alexander||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.153.1|urn:cts:greekLit:tlg0007.tlg030|Pyrrhus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.154.1|urn:cts:greekLit:tlg0007.tlg020|Comparison of Timoleon and Aemilius||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.155.1|urn:cts:greekLit:tlg0007.tlg134|De animae procreatione in Timaeo||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.156.1|urn:cts:greekLit:tlg0007.tlg088|De gloria Atheniensium||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.157.1|urn:cts:greekLit:tlg0007.tlg008|Publicola||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.158.1|urn:cts:greekLit:tlg0007.tlg021|Pelopidas||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.159.1|urn:cts:greekLit:tlg0007.tlg083|Mulierum virtutes||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.160.1|urn:cts:greekLit:tlg0007.tlg064|Artaxerxes||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.161.1|urn:cts:greekLit:tlg0007.tlg081|Regum et imperatorum apophthegmata||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.162.1|urn:cts:greekLit:tlg0007.tlg131|De esu carnium I||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.163.1|urn:cts:greekLit:tlg0007.tlg003|Comparison of Theseus and Romulus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.164.1|urn:cts:greekLit:tlg0007.tlg100|Animine an corporis affectiones sint peiores||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.165.1|urn:cts:greekLit:tlg0007.tlg113|Amatorius||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.166.1|urn:cts:greekLit:tlg0007.tlg097|De fraterno amore||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.167.1|urn:cts:greekLit:tlg0007.tlg056|Comparison of Demosthenes with Cicero||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.168.1|urn:cts:greekLit:tlg0007.tlg132|De esu carnium II||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.169.1|urn:cts:greekLit:tlg0007.tlg054|Demosthenes||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.170.1|urn:cts:greekLit:tlg0007.tlg143|De libidine et aegritudine||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.171.1|urn:cts:greekLit:tlg0007.tlg144|Parsne an facultas animi sit viva passiva||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.172.1|urn:cts:greekLit:tlg0007.tlg087|De Alexandri magni fortuna aut virtute||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.173.1|urn:cts:greekLit:tlg0007.tlg004|Lycurgus||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.174.1|urn:cts:greekLit:tlg0007.tlg053|Comparison of Agis and Cleomenes and the Gracchi||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.175.1|urn:cts:greekLit:tlg0007.tlg119|De unius in republica dominatione||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.176.1|urn:cts:greekLit:tlg0007.tlg111|Consolatio ad uxorem||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.177.1|urn:cts:greekLit:tlg0007.tlg055|Cicero||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.178.1|urn:cts:greekLit:tlg0007.tlg117|An seni respublica gerenda sit||published|feed_aggregator|feed_aggregator
urn:cite:perseus:catwk.179.1|urn:cts:greekLit:tlg0007.tlg040|Comparison of Nicias and Crassus||published|feed_aggregator|feed_aggregator
